mu_g,mu_r,mu_b,sd_g,sd_r,sd_b
0.5349577,0.3560784,0.46214366,0.2204861,0.28516966,0.2298444
0.90786487,0.78157115,0.8327977,0.10982255,0.15068622,0.0990572
0.92798424,0.84612155,0.8797657,0.0941582,0.11739625,0.07813534
0.91442734,0.79920596,0.8779079,0.10558586,0.13806143,0.07718175
0.9009248,0.693291,0.8033855,0.12447266,0.18623173,0.11130471
0.9265215,0.836865,0.85429,0.07945513,0.114169426,0.08194215
0.88038397,0.49925068,0.669727,0.12796436,0.30022112,0.19696195
0.92830724,0.8350172,0.8638744,0.08202022,0.12011952,0.079805195
0.95510834,0.8459994,0.8808578,0.051291026,0.105329305,0.06701773
0.9284317,0.8919318,0.9029981,0.094876885,0.09891695,0.062259473
0.90768826,0.76211977,0.80921483,0.119348526,0.16539538,0.113598965
0.9342921,0.80922616,0.8503963,0.08165404,0.13510302,0.09050864
0.8518114,0.5403745,0.6968361,0.14657377,0.3033468,0.19616282
0.81189746,0.53559744,0.6971924,0.15168548,0.27093008,0.17411454
0.9606929,0.73892933,0.82470846,0.068012856,0.1897438,0.12176653
0.8917521,0.78148913,0.86112297,0.13316661,0.17494617,0.10591176
0.89925003,0.5327183,0.68308383,0.123122714,0.30295053,0.20859478
0.8962483,0.7964846,0.88028115,0.115057275,0.1406397,0.08116242
0.8555109,0.49600017,0.6700689,0.13647541,0.2986475,0.19468668
0.9363579,0.8901002,0.9101285,0.06663548,0.0750025,0.05086557
0.901305,0.7884421,0.8644795,0.13169193,0.18059032,0.111381784
0.9183688,0.8227725,0.85844827,0.09410715,0.13514161,0.09176355
0.91509795,0.66449314,0.81871486,0.10852241,0.20185617,0.11224904
0.8838272,0.72818327,0.8459737,0.14685102,0.17608726,0.09377851
0.92192036,0.8583296,0.90857476,0.08331136,0.08731596,0.04612763
0.8861852,0.669425,0.7903341,0.16411614,0.20733853,0.123487405
0.9064478,0.7398637,0.80488724,0.10881557,0.17881423,0.1208772
0.9415419,0.870718,0.88645536,0.07003864,0.09733175,0.06656043
0.898211,0.65984255,0.76681226,0.15142101,0.30843925,0.1898527
0.7621245,0.5099563,0.6902875,0.18472593,0.27176964,0.16944553
0.80225927,0.5971095,0.74165237,0.18322489,0.27766824,0.17557882
0.96140337,0.84884536,0.8781065,0.06274052,0.11863067,0.080979876
0.9167022,0.79242325,0.83951604,0.07905935,0.1340403,0.09558261
0.8898656,0.77581495,0.8261034,0.12557557,0.15837923,0.10626479
0.828396,0.6522524,0.7329428,0.15175253,0.2365494,0.1761855
0.8422012,0.50405973,0.67852634,0.1637334,0.30075854,0.19435339
0.89457625,0.5104264,0.6842324,0.16357741,0.27864367,0.18012203
0.907384,0.8016852,0.840542,0.119830795,0.15509051,0.105539866
0.9124301,0.8102495,0.8583851,0.111900546,0.15247543,0.097212456
0.8454687,0.5200697,0.6783321,0.14018005,0.2906916,0.19270447
0.9379149,0.8864217,0.8954188,0.066259384,0.09047622,0.06639151
0.9486901,0.8504635,0.85766506,0.06976848,0.134175,0.10487225
0.8537864,0.6207327,0.7659918,0.12853202,0.21658626,0.13382606
0.795976,0.48366213,0.6528137,0.17830466,0.29554865,0.19410728
0.9286865,0.79896164,0.8491422,0.09361075,0.14260551,0.09213501
0.93137145,0.83328336,0.8725197,0.074588016,0.11445209,0.075682834
0.8404882,0.74734753,0.8085305,0.15479504,0.2070215,0.14395615
0.9268494,0.78089684,0.8307416,0.088096835,0.17235844,0.11768523
