rid,score,incl_of_fold0
V2wvAi,0.0,"['168_DEF', '078_CD', '082_ABC', '004_GHK', '068_DEF', '091_AB', '213_LMN', '068_ABC', '097_ABC', '118_ABC', '020_AB']"
119VqU,-1.0,"['172_ABC', '146_DEF', '016_DEF', '097_ABC', '066_GH', '177_DEF', '136_FG', '062_ABC', '181_AB']"
y8lHxv,-1.0,"['155_DEF', '176_GHK', '163_ABC', '014_CD', '169_DEF', '203_ABC', '041_ABC', '144_CD', '181_AB', '055_ABC']"
xZlLTR,0.0,"['019_ABC', '172_KL', '125_DEF', '109_ABC', '107_L', '072_ABC', '162_DEF', '200_AB', '066_GH']"
taJ3Er,-1.0,"['002_ABC', '176_GHK', '109_ABC', '030_GH', '152_DEF', '117_KL', '031_ABC', '181_AB']"
2fHJMu,-1.0,"['010_KL', '002_ABC', '172_KL', '016_KL', '062_ABC', '117_KL', '176_GHK', '177_DEF', '107_ABC', '045_DEF']"
6kl71A,0.0,"['045_DEF', '136_FG', '016_KL', '115_DEF', '102_AB', '026_DEF', '148_ABC', '074_ABC']"
rn7s4W,-1.0,"['016_DEF', '123_EF', '080_G', '102_AB', '109_ABC', '119_L', '004_GHK', '210_L', '055_ABC', '212_ABC']"
ohfxE4,-1.0,"['055_ABC', '080_ABC', '028_EF', '004_GHK', '213_LMN', '017_DEF', '171_M', '143_F', '014_CD', '155_DEF']"
RfnYQ2,-1.0,"['016_DEF', '163_ABC', '210_L', '181_G', '062_ABC', '172_ABC', '002_DEF']"
oV5V7O,-1.0,"['152_DEF', '155_DEF', '141_EF', '140_DEF', '212_ABC', '062_ABC', '110_DEF', '074_ABC', '083_DEF', '002_DEF']"
vYrG4O,0.0,"['155_DEF', '107_L', '077_DEF', '107_ABC', '172_ABC', '168_DEF', '091_AB']"
60Q3Ed,-1.0,"['102_AB', '160_C', '016_KL', '213_LMN', '028_EF', '177_DEF', '181_AB', '007_DEF', '041_ABC']"
1wDJcQ,0.0,"['042_DE', '171_M', '049_DEF', '158_CD', '146_DEF', '205_DEF', '017_DEF', '177_DEF', '213_LMN', '212_ABC']"
d4LL0L,0.0,"['111_EF', '066_GH', '200_AB', '039_DEF', '045_DEF', '097_ABC', '049_DEF', '014_CD', '123_EF']"
